country,year,electricity_and_heat_co2_emissions,electricity_and_heat_co2_emissions_per_capita,energy_co2_emissions,energy_co2_emissions_per_capita,total_co2_emissions_excluding_lucf,total_co2_emissions_excluding_lucf_per_capita
Afghanistan,1990,0.32,0.029921072,2.0,0.1870067,2.05,0.19168186
Afghanistan,1991,0.3,0.027919527,1.9,0.17682366,1.94,0.18054627
Afghanistan,1992,0.2,0.016587274,1.48,0.122745834,1.53,0.12689266
Afghanistan,1993,0.2,0.0142818745,1.48,0.105685875,1.53,0.10925634
Afghanistan,1994,0.19,0.012293311,1.45,0.09381737,1.49,0.09640544
Afghanistan,1995,0.18,0.010962969,1.41,0.085876584,1.46,0.08892185
Afghanistan,1996,0.17,0.009937685,1.36,0.07950148,1.41,0.08242433
Afghanistan,1997,0.16,0.0089944145,1.3,0.073079616,1.34,0.07532822
Afghanistan,1998,0.16,0.00865186,1.27,0.06867414,1.32,0.07137784
Afghanistan,1999,0.16,0.008306142,1.07,0.055547323,1.12,0.058142994